0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
-1.7886182,-0.50633186,3.7006807,3.0430315,0.5164772,-1.5151919,3.1083422,-2.4217668,-3.1390996,-0.7841625,1.4221275,1.884315,-3.1310995,2.3644137,1.8455392,3.0225697,0.95299006,-1.3015373,0.94641936,4.2747164,-0.12798247,1.5340856,-3.9574366,-2.1992848,2.1784286,-1.6666911,2.9486797,4.3218846,1.5947945,-0.73138255
0.864483,-1.6790874,1.312722,1.216018,1.6524993,-1.9627173,0.08117738,-2.5724092,-0.6011497,-0.27938205,1.4322387,1.1119819,-1.6483707,1.3593773,2.372003,1.0844643,-1.8032,-1.477278,2.3089855,0.40480113,2.0212321,0.9073765,-0.64375675,2.8782935,1.1539894,-1.1003087,-0.39812642,-0.03403847,0.43237638,1.594304
-1.8581772,-0.5460126,3.8210578,3.1348283,0.58107334,-1.7447696,3.4397948,-2.8146987,-3.3746529,-0.8077598,1.7165135,2.1734533,-3.4503016,2.4037142,2.2421088,3.0234365,0.8895372,-1.0873816,1.1578109,4.5945077,0.1169597,1.7506679,-4.0160184,-2.2225416,2.373701,-1.7962804,3.2752464,4.7471485,1.6337222,-0.63960904
1.5813689,-2.20228,1.0767121,2.2485776,2.532419,-2.2032552,-4.3898826,-1.0989655,-1.8628389,4.171053,2.651168,2.8345935,-1.9379532,2.991213,2.405408,0.7230072,-0.94981754,-1.8194017,1.1463778,1.5032185,0.45646894,2.2382681,-3.0931404,-1.4573244,2.291819,-3.6527078,1.6786776,2.6076393,3.2479713,3.0707693
1.1826614,-1.3605735,-0.63462067,0.4957866,1.1268253,-1.7127235,0.014535619,-3.236513,-1.7781212,0.9346651,2.8089051,1.7231246,-2.447983,1.3282752,3.0376854,-0.8832786,-0.97546804,0.37205732,2.9121861,0.5240319,1.6466329,1.9269837,-1.6670735,1.3475168,0.87164557,-1.6143488,0.18905151,1.0220845,2.341503,2.3200336
1.1234614,-1.2921482,0.27293336,1.2938433,1.4342587,-1.2383652,-2.2410297,-1.2758907,-1.669363,2.5462008,1.8721564,1.9562664,-1.5945644,1.8239591,1.9690454,-0.0147542665,-0.5812727,-0.7974943,0.99212635,1.0246054,0.29916978,1.8235062,-1.7510834,-0.8340468,1.5150375,-2.0629108,1.0321304,1.6238614,2.2394805,2.4519625
1.0398481,-0.9950981,-0.28102887,0.98094034,1.0931327,-0.9189757,-1.0670359,-1.6368461,-1.9498477,2.0783703,1.7465459,1.7487317,-1.5999982,1.440482,2.0736675,-0.39944935,-0.3134567,-0.15930814,1.3706222,0.7106633,0.30414116,1.9723706,-1.2768395,-0.62221867,1.1566956,-1.5475585,0.7785419,1.3513747,1.976963,2.3495743
-1.6685905,-0.43043995,3.7232728,2.7957737,0.39214006,-1.4479821,3.003077,-2.5462031,-2.8835073,-0.92089325,1.2437613,1.5923238,-2.938078,2.2583978,1.7163228,2.9193983,0.6972176,-1.2013545,0.98553,4.044638,0.023530692,1.4468576,-3.819099,-1.8429841,2.115811,-1.4429386,2.7872639,4.010839,1.2330933,-0.69810146
-1.4659714,-0.48400983,3.5137625,2.6779542,0.54795647,-1.57844,2.7842042,-2.3705468,-2.8265815,-0.76135343,1.352597,1.7577367,-2.9931374,2.3343062,1.6581733,2.5345736,0.69289726,-1.1503909,1.0593646,3.941032,0.05119928,1.3551592,-3.59208,-1.8697448,1.8271497,-1.3364146,2.5348175,3.8768778,1.4813318,-0.80043465
1.1012632,-1.9929587,1.5277402,1.4616141,1.8711095,-2.2338326,-0.03412345,-2.8017712,-0.57169986,-0.43490213,1.5991747,1.1383748,-1.7877634,1.4422174,2.5192132,1.3428762,-2.1062782,-1.7808676,2.6265736,0.38737568,2.3659184,0.88418883,-0.6709141,3.3851576,1.4650869,-1.2665284,-0.50465477,-0.2069565,0.4155326,1.9185169
0.686508,-0.5734205,1.1134396,0.7831034,1.1891172,-1.8879564,1.3396667,-2.3783686,-2.5059795,0.41276264,3.2964315,2.6341562,-2.7971199,1.5380273,2.1710815,-0.3444607,0.30500486,0.49565423,2.7198625,3.036271,1.1084294,1.7305467,-1.9506941,-1.8360457,0.4145453,-1.6165557,1.921982,3.2630236,3.0724766,0.21873656
0.5580798,-1.0010953,0.17146096,0.41725844,0.98581475,-0.72936094,-1.1245912,-1.1373158,-1.2826881,1.2613237,0.86702096,0.7869397,-1.0785217,1.0916599,1.2707515,-0.03392226,-0.73532516,-0.7371168,0.71506095,0.41800135,0.24884734,1.1674807,-0.7081926,0.13034083,0.9214138,-1.1591644,0.47765452,0.6346871,1.0810843,1.5860159
0.834427,-1.7194223,0.85498196,0.9875797,1.5299339,-2.0261672,-0.0702534,-2.733305,-0.7303134,-0.08633365,1.5411209,1.2830168,-1.816571,1.3203129,2.5366607,0.5556837,-1.5725923,-1.1706185,2.333261,0.46172434,2.004134,1.0577898,-0.65323746,2.4625535,1.0435706,-0.9953636,-0.28591412,0.2143785,0.73682225,1.747041
