0,1,2,3,4,5,6,7,8,9
-2.441216,2.786005,-3.9301562,-5.4767084,-6.653566,3.9536548,-0.7224835,-1.9354393,1.9231921,0.110714346
0.7654599,5.192176,-7.8569217,-5.545688,-3.5034518,4.4188466,-6.19418,-5.865132,-2.7879634,-4.8509603
0.8719344,4.6126885,-7.2950954,-4.475333,-3.1553903,3.503017,-5.3352265,-4.9545965,-2.2515552,-4.6937733
0.77276814,4.6602883,-3.2567725,-2.3943205,-2.3431392,1.3803208,-4.5090475,-0.47597712,3.210296,-0.4476629
0.45687214,4.640444,-6.808989,-5.6250787,-3.111136,4.0993447,-5.876759,-5.332529,-2.5849242,-4.1105504
-5.466074,5.002711,-2.4136915,-3.5176265,-5.985577,1.9191499,-2.14616,-3.6078863,4.075269,-3.651682
-5.692246,5.239134,-2.6013532,-3.5294793,-6.242067,1.9500659,-2.0680563,-3.9487407,4.2533784,-3.8051987
0.58339864,4.4704013,-7.0865283,-5.2658725,-3.0934594,4.0420346,-5.6056075,-5.4330525,-2.4263146,-4.4179873
-4.981236,4.521973,-0.8572185,-3.163508,-4.3986306,2.5702248,-3.1413083,-2.674745,2.3933084,-2.7108445
-5.5704007,4.961512,-2.5047562,-3.5840626,-6.0143867,1.8682504,-1.8640716,-3.8333862,4.041748,-3.6106758
-1.3915011,3.2184792,-5.452176,-5.6720095,-6.5004015,3.9790745,-0.74228334,-2.2776878,1.9888432,0.25598848
-0.9121987,2.949273,-4.941622,-5.1617355,-5.7997084,3.6577008,-1.1535697,-1.7986205,1.4688761,0.7898319
-4.110912,4.497743,-0.88774085,-2.6737006,-3.9369576,1.9098942,-2.4961686,-3.077935,2.5318387,-2.2785907
-4.17405,4.193955,-0.7209027,-3.1001081,-4.190372,2.581151,-2.8655255,-2.2474382,2.400461,-2.010055
-5.02747,4.4209895,-0.98677695,-2.6776657,-4.735909,2.0713992,-2.2514684,-2.9594576,2.4381492,-2.8063493
-4.8628316,4.8740087,-0.7334565,-3.249597,-4.89809,2.5226393,-3.4257865,-2.778268,2.4394743,-2.1941304
-0.57154405,3.734686,-1.5430417,-2.1562595,-1.8517654,1.530219,-3.739272,-0.69776845,2.774861,-0.0048889667
-3.174892,3.5577846,-0.8636919,-2.1681685,-3.2339602,1.7053409,-2.4965003,-1.8970149,2.865113,-1.638677
-4.766852,4.7970843,-0.66614056,-3.725182,-4.5017557,3.1100821,-3.653911,-2.5989025,2.0433807,-1.821591
0.5359792,3.8191223,-6.070194,-5.0488625,-2.969331,3.7178254,-4.9137635,-4.6014123,-2.340787,-3.5503135
0.04866467,4.019959,-6.214826,-6.124466,-3.263698,4.8067966,-5.7538004,-5.0501237,-2.305763,-2.7246795
0.4601476,4.0289536,-2.7573447,-1.9295262,-1.9965467,0.8287469,-3.5748253,-0.51548123,3.2190735,-0.3436544
-5.477322,5.2673454,-2.4296026,-3.2698464,-5.9512286,1.8781829,-2.1110296,-3.8676665,4.252718,-3.8302302
