0,1,2,3,4,5,6,7,8,9
-0.109571636,1.3454256,2.2505188,-2.0713894,1.8666681,1.5586582,2.3483233,1.0774922,2.5282934,-2.077635
-0.12447028,2.7440383,4.1624613,-2.8711293,2.762361,1.4498001,4.134338,0.5987773,1.7124907,-1.7039521
0.3801908,1.8599927,0.41753364,-1.6022027,1.0322871,1.6789483,-0.5527133,1.8189561,0.90941876,-1.6728761
-0.5428694,1.6834701,1.8253177,-3.5245202,2.5063105,3.5090246,1.7753749,2.6261578,3.8990297,-4.3321757
-0.5163717,1.7883976,1.8703977,-3.6565194,2.5480905,3.283186,2.0089905,2.4715953,3.8117268,-4.0687895
3.99798,3.8117387,3.5687716,-1.9814125,1.7974116,2.654559,0.614598,4.725751,0.30188334,-2.2116218
3.368201,3.6793377,3.2763,-1.7606095,2.113079,2.8153672,1.2047268,4.1713476,-0.44070312,-1.3237296
4.918424,5.4493837,4.219365,-2.4238045,2.911888,3.8265378,0.7880467,6.213599,-0.8652509,-1.6584816
3.9410858,3.3553212,3.9032722,-1.7583442,1.7593182,2.553035,0.77627164,3.9952085,0.5816287,-2.0734365
-0.25374126,2.7346368,3.9778485,-2.8146477,2.809684,1.5201505,4.070292,0.5926099,1.2191567,-1.4129655
-0.2595153,2.033821,3.1655414,-2.5311081,2.3988233,1.5094053,3.2278552,1.0607725,2.5653052,-2.141001
0.29971153,1.283015,2.2424889,-2.2380214,1.5450004,2.240993,1.8759708,1.8230325,3.1281688,-2.966787
-0.11929186,1.7906954,2.0877652,-3.7733228,2.5479374,3.7073433,1.8992944,3.0788121,4.310768,-5.0909777
-0.41543502,1.8535242,1.9882877,-3.4740345,2.4962497,3.4098861,1.8594588,2.5764227,3.9252083,-4.272039
-0.45053667,1.9535353,1.9573656,-3.9235883,2.692967,3.785601,2.044904,2.9526737,4.201627,-4.7907844
4.6225257,5.568792,4.2531204,-2.5197911,2.9306693,3.7480726,0.9510244,6.0542564,-1.1059276,-1.5752223
-0.35025078,1.6233684,1.8234588,-3.1525674,2.191935,2.9440317,1.8289623,2.3350606,3.5355844,-3.7575288
-0.35755628,1.7705659,2.2083123,-2.8246076,2.2264814,1.994808,2.6472793,1.4886297,2.905086,-2.5254283
5.010987,5.3288984,4.2395334,-2.438812,2.8914971,3.7147963,0.7728199,6.276163,-0.66558677,-1.8893515
-0.5924967,2.549956,3.4677095,-2.7988768,2.9302154,1.4901458,3.727868,0.50574625,1.3705693,-1.4732304
-0.10010594,1.5301123,2.148804,-3.1440237,2.0290782,3.1304553,1.9764053,2.4884691,3.830059,-4.0360413
-0.123470455,1.7191066,3.0094142,-2.499153,2.2268827,1.6002573,2.9588687,1.2918324,3.057696,-2.4349382
-0.17214447,2.6874335,3.6047807,-2.616544,2.8058705,1.4941025,3.593603,0.45490006,0.88078123,-1.208196
0.40828508,1.3253834,2.30577,-2.4937828,1.6562475,2.5386317,2.1014488,2.2264726,3.456238,-3.4450006
0.12582086,1.7591466,0.49617654,-1.778028,1.0827873,2.2449234,-0.6471994,1.9291251,1.7801758,-2.529034
5.280577,5.644723,4.518055,-2.5638106,3.0639038,3.9628754,0.81604403,6.591773,-0.77083373,-1.8528069
4.9074745,5.5234294,4.2545424,-2.5307553,2.932215,3.8633363,0.81406784,6.2260427,-0.9315172,-1.6516815
-0.59950167,3.4458563,4.874317,-3.5253055,3.6551118,1.926043,4.976175,0.43049332,0.9838123,-1.5441756
4.812612,5.1120896,4.140272,-2.384085,2.7374463,3.5921595,0.82571566,6.0233316,-0.51676863,-1.9058782
-0.39198905,1.8113554,2.0485325,-3.6886911,2.4820113,3.699127,1.9933332,2.8438916,4.132183,-4.561603
-0.44990528,1.7784619,1.8457325,-3.5454907,2.4203827,3.3786023,1.8685694,2.6292367,3.9388344,-4.292932
5.0172925,5.400212,4.3528004,-2.4233608,2.966414,3.7562683,0.78268087,6.3509,-0.77223504,-1.9150186
0.19857435,1.1341044,2.3119907,-2.3588917,1.5429797,2.3696926,1.9302666,1.9782941,3.5264997,-3.0987165
-0.32573068,2.0353372,2.0613027,-4.01257,2.7156506,3.9526772,2.057575,3.0116737,4.3961487,-4.9182973
0.52523965,2.0550666,0.6811673,-1.8178263,1.129788,2.0913894,-0.5986971,2.246162,1.3559262,-2.3969731
0.411618,2.1987343,0.5356634,-1.8489428,1.1099733,2.1829445,-0.87884045,2.2072551,1.392282,-2.4357781
